filename,name,target_role,age,years_experience,education_level,nb_certifications,nb_extra_languages,nb_extra_skills,has_management_experience,has_international_experience,gender,label
cv_0001.txt,Kenji Popescu,Software Engineer,30,2.5,3,1,0,12,0,0,1,0
cv_0002.txt,Olivia Schneider,Frontend Developer,39,6.58,4,4,1,14,0,1,0,0
cv_0003.txt,Luca Patel,Backend Developer,34,7.42,4,3,0,15,0,0,1,1
cv_0004.txt,Ethan Garcia,Software Engineer,35,7.42,3,1,1,10,0,1,1,0
cv_0005.txt,Leo Kim,Software Engineer,39,9.58,3,2,1,14,0,0,1,1
cv_0006.txt,Leila Okafor,Frontend Developer,31,6.92,4,4,1,12,0,1,0,1
cv_0007.txt,Maya Andersen,Product Analyst,38,8.75,3,1,1,15,1,1,0,0
cv_0008.txt,Jonas Rossi,ML Engineer,33,5.42,3,1,0,15,0,0,1,0
cv_0009.txt,Leila Hassan,QA Engineer,37,5.83,3,4,1,15,0,1,0,0
cv_0010.txt,Isla Okafor,QA Engineer,23,1.92,3,1,1,14,0,1,0,0
cv_0011.txt,Thomas Martinez,Cybersecurity Analyst,40,11.42,3,4,1,12,0,1,1,1
cv_0012.txt,Arjun Costa,Frontend Developer,28,1.42,4,1,1,15,0,1,1,0
cv_0013.txt,Hugo Okafor,Product Analyst,30,6.25,4,2,1,14,1,1,1,1
cv_0014.txt,Jonas Novak,Data Analyst,29,2.67,3,1,1,9,0,1,1,0
cv_0015.txt,Noah Kim,Data Analyst,35,11.33,4,2,1,15,0,1,1,1
cv_0016.txt,Hannah Rossi,Product Analyst,24,2.08,3,1,1,10,1,1,0,0
cv_0017.txt,Gabriel Silva,Frontend Developer,28,2.17,3,1,1,10,0,1,1,0
cv_0018.txt,Samuel Silva,Data Analyst,32,7.67,4,1,1,14,0,1,1,0
cv_0019.txt,Daniel Novak,ML Engineer,30,3.08,4,1,1,12,0,1,1,0
cv_0020.txt,Thomas Santos,Data Scientist,41,8.42,4,2,0,14,1,0,1,0
cv_0021.txt,Omar Garcia,QA Engineer,27,4.67,3,1,1,12,0,1,1,0
cv_0022.txt,Clara Okafor,DevOps Engineer,26,1.67,3,1,1,13,0,1,0,0
cv_0023.txt,Samuel Patel,Data Analyst,31,4.33,3,2,0,14,0,0,1,0
cv_0024.txt,Sara Hassan,Data Scientist,35,5.25,3,1,1,11,0,1,0,0
cv_0025.txt,Hannah Andersen,Data Scientist,33,4.67,3,1,1,11,0,1,0,0
